,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
9149,2.516503095626831,0.22433237306417966,0.11387357711791993,0.044212007206737715,911,492,"{'min_samples_leaf': 911, 'min_samples_split': 492}",0.38592111832251624,0.4000999000999001,0.39030484757621187,0.36054081121682524,0.38257386079118677,0.3839,0.01307227646941183,9071,0.3848943353757659,0.3893473368342086,0.3849231153894237,0.3874796951143321,0.3908534299637636,0.3874995825354988,0.002370163696798189
9150,2.492458868026733,0.2499768160936667,0.1087794303894043,0.04211936023328774,911,502,"{'min_samples_leaf': 911, 'min_samples_split': 502}",0.3764353469795307,0.38961038961038963,0.3873063468265867,0.36104156234351525,0.3780671006509765,0.3785,0.010099018518828894,9305,0.379517318994623,0.3789697424356089,0.3827978497312164,0.38697988254404597,0.38148194427089843,0.38194934759527854,0.0028648739460939597
9151,2.6895044803619386,0.17936719555427444,0.11122736930847169,0.026128686141537297,911,512,"{'min_samples_leaf': 911, 'min_samples_split': 512}",0.38292561158262606,0.3986013986013986,0.384807596201899,0.37205808713069605,0.3760640961442163,0.3829,0.009104417530331973,9108,0.3856446167312742,0.38609652413103274,0.3775471933991749,0.39622641509433965,0.38148194427089843,0.385399338725344,0.006241377684857122
9152,2.810495138168335,0.286400269098625,0.12254862785339356,0.02963026333839163,911,522,"{'min_samples_leaf': 911, 'min_samples_split': 522}",0.3709435846230654,0.3986013986013986,0.39280359820089955,0.3550325488232349,0.37205808713069605,0.3779,0.015848544092570117,9381,0.37539077153932726,0.38634658664666166,0.38717339667458434,0.38260652255404226,0.37835811570661004,0.3819750786242451,0.004537991514206677
9153,2.5875060081481935,0.24305290257220122,0.0857454776763916,0.02830656892391652,911,532,"{'min_samples_leaf': 911, 'min_samples_split': 532}",0.38342486270594106,0.3956043956043956,0.3873063468265867,0.35953930896344516,0.3800701051577366,0.3812,0.011997617754889866,9153,0.383518819557334,0.38209552388097023,0.3827978497312164,0.38722978882918907,0.39197800824690743,0.3855239980491234,0.0036816037368329786
9154,2.3701024055480957,0.2904967806157468,0.08584246635437012,0.03668125562105127,911,542,"{'min_samples_leaf': 911, 'min_samples_split': 542}",0.3764353469795307,0.38961038961038963,0.38330834582708645,0.3615423134702053,0.3800701051577366,0.3782,0.00938198757330063,9341,0.379517318994623,0.3789697424356089,0.37379672459057384,0.38797950768461825,0.39197800824690743,0.3824482603904663,0.0065871141960855955
9155,2.466429090499878,0.1828582300709731,0.09842753410339355,0.031189481216835662,911,552,"{'min_samples_leaf': 911, 'min_samples_split': 552}",0.37893160259610587,0.38961038961038963,0.3893053473263368,0.37055583375062595,0.38357536304456685,0.3824,0.007116887672051756,9119,0.37926722520945355,0.3789697424356089,0.38129766220777594,0.392352867674622,0.390478570536049,0.38447321361270187,0.005755482549526223
9156,2.3961590766906737,0.22456328612944598,0.09274954795837402,0.021324488615832058,911,562,"{'min_samples_leaf': 911, 'min_samples_split': 562}",0.37993010484273587,0.3986013986013986,0.39030484757621187,0.3680520781171758,0.3800701051577366,0.3834,0.010366769299573798,9092,0.3806427410278855,0.3907226806701675,0.3849231153894237,0.3893539922529052,0.38548044483318755,0.38622459483471394,0.003561758112959953
9157,2.7221796035766603,0.16029669988140208,0.09141526222229004,0.023053097345372354,911,572,"{'min_samples_leaf': 911, 'min_samples_split': 572}",0.37693459810284574,0.4000999000999001,0.38780609695152424,0.37055583375062595,0.3795693540310466,0.383,0.010188523509556275,9105,0.37851694385394524,0.3893473368342086,0.38304788098512316,0.392352867674622,0.3868549294014744,0.3860239917498747,0.004837411576393048
9158,2.70284218788147,0.24035890864924098,0.09309573173522949,0.055508323027005396,911,582,"{'min_samples_leaf': 911, 'min_samples_split': 582}",0.38292561158262606,0.3986013986013986,0.3853073463268366,0.36104156234351525,0.37205808713069605,0.38,0.01268837804277186,9208,0.3856446167312742,0.3907226806701675,0.37729716214526815,0.38697988254404597,0.37835811570661004,0.38380049155947316,0.0051640831743836255
9159,2.5867398262023924,0.27929535446743553,0.1143143653869629,0.07618232536736888,911,592,"{'min_samples_leaf': 911, 'min_samples_split': 592}",0.37693459810284574,0.3986013986013986,0.39080459770114945,0.35953930896344516,0.3790686029043565,0.381,0.013314988878008837,9161,0.37851694385394524,0.38609652413103274,0.38629828728591076,0.3881044608271898,0.3847307259777583,0.38474938841516737,0.0032958788428563805
9160,2.648727226257324,0.3735306590266822,0.09183979034423828,0.01903366079017577,911,602,"{'min_samples_leaf': 911, 'min_samples_split': 602}",0.3839241138292561,0.4030969030969031,0.38980509745127434,0.3550325488232349,0.38257386079118677,0.3829,0.015701041704399624,9108,0.38451919469801177,0.38584646161540387,0.38092261532691585,0.3849806322629014,0.3908534299637636,0.3854244667733993,0.0031917046861637895
9161,2.463607835769653,0.2585646903843287,0.11882858276367188,0.04843868573210437,911,612,"{'min_samples_leaf': 911, 'min_samples_split': 612}",0.38342486270594106,0.3946053946053946,0.3873063468265867,0.3615423134702053,0.37205808713069605,0.3798,0.011675975979011708,9216,0.383518819557334,0.3840960240060015,0.3827978497312164,0.38797950768461825,0.37835811570661004,0.38335006333715604,0.003073798040218701
9162,2.989652967453003,0.2723198324701385,0.09999527931213378,0.03084033927625749,911,622,"{'min_samples_leaf': 911, 'min_samples_split': 622}",0.38592111832251624,0.38961038961038963,0.3873063468265867,0.3655483224837256,0.3780671006509765,0.3813,0.00877259114868889,9149,0.3848943353757659,0.3789697424356089,0.3827978497312164,0.3912282893914782,0.38148194427089843,0.38387443224099355,0.004148696857291571
9163,2.6832400798797607,0.2834595438957001,0.14760303497314453,0.056374230063758746,911,632,"{'min_samples_leaf': 911, 'min_samples_split': 632}",0.37893160259610587,0.38961038961038963,0.3868065967016492,0.3615423134702053,0.3790686029043565,0.3792,0.009775371285587165,9244,0.38039264724271604,0.3789697424356089,0.3790473809226153,0.38797950768461825,0.3847307259777583,0.38222400085266334,0.0035621481669093225
