,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_oob_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.339990854,0.033903409,0.065442801,0.000414711,entropy,17,1,125,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 125, 'oob_score': True}",0.718921618,0.738761239,0.749625187,0.746119179,0.753630446,0.7414,0.012266131,1708,0.991246718,0.990747687,0.993124141,0.99125328,0.991378233,0.991550012,0.000816229
1,3.46232295,0.03739423,0.066010714,0.004418392,entropy,17,1,130,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 130, 'oob_score': True}",0.718921618,0.738261738,0.752623688,0.747120681,0.753630446,0.7421,0.012818072,1549,0.991121671,0.990747687,0.992999125,0.991003374,0.99125328,0.991425027,0.000804473
2,3.615922832,0.03411746,0.071661949,0.000973466,entropy,17,1,135,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 135, 'oob_score': True}",0.718422366,0.739260739,0.754122939,0.747120681,0.75563345,0.7429,0.013557382,1320,0.991121671,0.990997749,0.993249156,0.99125328,0.991503186,0.991625009,0.000829178
3,3.67165556,0.027525045,0.072079802,0.002117839,entropy,17,1,140,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 140, 'oob_score': True}",0.718921618,0.739260739,0.754622689,0.74661993,0.752628943,0.7424,0.0129124,1475,0.991746905,0.992873218,0.991373922,0.992127952,0.991503186,0.991925037,0.000539192
4,3.795603037,0.017399725,0.074758339,0.001763363,entropy,17,1,145,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 145, 'oob_score': True}",0.719420869,0.735764236,0.752623688,0.745618428,0.751627441,0.741,0.012353515,1779,0.991621858,0.992623156,0.990623828,0.992127952,0.991878046,0.991774968,0.000663809
5,3.931715202,0.019603412,0.08019824,0.003943109,entropy,17,1,150,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 150, 'oob_score': True}",0.717923115,0.737262737,0.751624188,0.743114672,0.750125188,0.74,0.012189025,1904,0.991246718,0.992373093,0.991498937,0.992127952,0.991753093,0.991799959,0.000408644
6,4.085260582,0.017870159,0.080142689,0.004256611,entropy,17,1,155,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 155, 'oob_score': True}",0.72441338,0.739260739,0.753123438,0.744116174,0.75112669,0.7424,0.010275212,1475,0.991496811,0.992623156,0.992374047,0.992627765,0.992877671,0.99239989,0.000478804
7,4.225107288,0.007138738,0.081550789,0.002367706,entropy,17,1,160,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 160, 'oob_score': True}",0.722416375,0.734265734,0.752123938,0.744616925,0.749624437,0.7406,0.010969052,1839,0.989746155,0.993123281,0.991748969,0.992752718,0.992877671,0.992049759,0.001243311
8,4.351984692,0.030036957,0.088056421,0.004816739,entropy,17,1,165,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 165, 'oob_score': True}",0.724912631,0.737262737,0.750124938,0.745618428,0.749123686,0.7414,0.009411398,1708,0.989746155,0.993248312,0.992374047,0.992377858,0.992377858,0.992024846,0.001188316
9,4.467134333,0.022190444,0.085656643,0.003357084,entropy,17,1,170,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 170, 'oob_score': True}",0.721417873,0.744755245,0.750124938,0.740610916,0.752628943,0.7419,0.011068763,1608,0.989871202,0.992248062,0.991498937,0.990753467,0.992377858,0.991349905,0.000941051
10,4.602519083,0.023887362,0.088865519,0.002021518,entropy,17,1,175,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 175, 'oob_score': True}",0.726909636,0.742257742,0.76061969,0.743114672,0.752628943,0.7451,0.011322447,605,0.989871202,0.991872968,0.993124141,0.990378608,0.992127952,0.991474974,0.001189843
11,4.731130695,0.028114606,0.091705799,0.00253029,entropy,17,1,180,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 180, 'oob_score': True}",0.723414878,0.744255744,0.75912044,0.741612419,0.751627441,0.744,0.011974748,941,0.990871577,0.991372843,0.992999125,0.991753093,0.993377483,0.992074824,0.000958681
12,4.860993385,0.024582044,0.091471291,0.00219806,entropy,17,1,185,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 185, 'oob_score': True}",0.722915627,0.744755245,0.757621189,0.745117677,0.754131197,0.7449,0.012092168,655,0.99074653,0.992623156,0.993624203,0.991378233,0.99325253,0.99232493,0.001097732
13,4.979054451,0.022695884,0.097178268,0.00247889,entropy,17,1,190,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 190, 'oob_score': True}",0.720419371,0.73976024,0.757621189,0.745618428,0.753630446,0.7434,0.013068473,1162,0.991871952,0.992623156,0.991999,0.993002624,0.994002249,0.992699796,0.000770766
14,5.113509274,0.026176828,0.099410248,0.002744414,entropy,17,1,195,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 195, 'oob_score': True}",0.722416375,0.737762238,0.752623688,0.74661993,0.756134201,0.7431,0.012080787,1267,0.991496811,0.992123031,0.991873984,0.992377858,0.993502437,0.992274824,0.000679215
15,5.229303598,0.021899436,0.100151205,0.003058075,entropy,17,1,200,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 200, 'oob_score': True}",0.723414878,0.735764236,0.751624188,0.746119179,0.753630446,0.7421,0.011220306,1549,0.992122046,0.992248062,0.992124016,0.992627765,0.99362739,0.992549856,0.000569665
16,5.345108938,0.021266559,0.102017355,0.003051196,entropy,17,1,205,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 205, 'oob_score': True}",0.717423864,0.734265734,0.752623688,0.744116174,0.749123686,0.7395,0.012661616,1972,0.991496811,0.991122781,0.992499062,0.991378233,0.992377858,0.991774949,0.0005564
17,5.493037128,0.020734452,0.106588078,0.003109117,entropy,17,1,210,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 210, 'oob_score': True}",0.716924613,0.736763237,0.751624188,0.746119179,0.752128192,0.7407,0.013120665,1823,0.991246718,0.991122781,0.992124016,0.991503186,0.992377858,0.991674912,0.000492649
18,5.61916399,0.016337326,0.107123232,0.002724064,entropy,17,1,215,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 215, 'oob_score': True}",0.716924613,0.738261738,0.751624188,0.748122183,0.75563345,0.7421,0.01385168,1549,0.991496811,0.991872968,0.992624078,0.992127952,0.991878046,0.991999971,0.000371498
19,5.727852011,0.013783896,0.112005806,0.005105498,entropy,17,1,220,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 220, 'oob_score': True}",0.715926111,0.744755245,0.753123438,0.748622934,0.756134201,0.7437,0.01442971,1047,0.990871577,0.991747937,0.992374047,0.992502811,0.992252905,0.991949855,0.000596824
20,5.870655632,0.023822357,0.114823723,0.004877508,entropy,17,1,225,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 225, 'oob_score': True}",0.721917124,0.745754246,0.752623688,0.747120681,0.760640961,0.7456,0.012956086,470,0.990496436,0.992248062,0.993124141,0.992627765,0.991503186,0.991999918,0.000919439
21,5.990218449,0.012305756,0.115069342,0.003392298,entropy,17,1,230,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 230, 'oob_score': True}",0.723414878,0.743756244,0.754122939,0.749123686,0.759138708,0.7459,0.012360962,376,0.990246342,0.991872968,0.992624078,0.992377858,0.992002999,0.991824849,0.000833105
22,6.104686546,0.00836212,0.117862606,0.003116908,entropy,17,1,235,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 235, 'oob_score': True}",0.723414878,0.746753247,0.752123938,0.747120681,0.759138708,0.7457,0.012017595,440,0.989996249,0.991372843,0.992999125,0.992502811,0.991878046,0.991749815,0.001035502
23,6.229038811,0.026826649,0.118563604,0.00288887,entropy,17,1,240,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 240, 'oob_score': True}",0.720419371,0.74025974,0.747626187,0.748622934,0.756634952,0.7427,0.012299037,1389,0.990996624,0.990622656,0.992499062,0.992127952,0.991628139,0.991574887,0.00069339
24,6.365723228,0.027642477,0.124059105,0.004240725,entropy,17,1,245,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 245, 'oob_score': True}",0.718921618,0.736763237,0.752623688,0.747621432,0.759138708,0.743,0.014097012,1296,0.990871577,0.990997749,0.992874109,0.992377858,0.991753093,0.991774877,0.000773596
25,6.494340324,0.023917367,0.122095728,0.002019604,entropy,17,1,250,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 250, 'oob_score': True}",0.720419371,0.741758242,0.753123438,0.752128192,0.757135704,0.7449,0.013261943,655,0.990871577,0.991372843,0.993124141,0.992502811,0.993752343,0.992324743,0.001070195
26,6.678124571,0.021706079,0.12712512,0.003460055,entropy,17,1,255,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 255, 'oob_score': True}",0.723414878,0.744755245,0.755622189,0.748622934,0.757135704,0.7459,0.012129914,376,0.989996249,0.992623156,0.993749219,0.992252905,0.994377109,0.992599727,0.001508599
27,6.825992107,0.035786075,0.132395887,0.003464507,entropy,17,1,260,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 260, 'oob_score': True}",0.72441338,0.745754246,0.76061969,0.747120681,0.757135704,0.747,0.012654294,130,0.989871202,0.992873218,0.993249156,0.992502811,0.993752343,0.992449746,0.00135402
28,6.93868742,0.029562975,0.128827477,0.001054559,entropy,17,1,265,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 265, 'oob_score': True}",0.724912631,0.744755245,0.752623688,0.747120681,0.759138708,0.7457,0.01152355,440,0.990121295,0.99299825,0.993749219,0.991753093,0.99325253,0.992374877,0.001304832
29,7.049676561,0.019839952,0.137578154,0.003939275,entropy,17,1,270,TRUE,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 1, 'n_estimators': 270, 'oob_score': True}",0.724912631,0.740759241,0.753123438,0.747120681,0.76014021,0.7452,0.012010875,580,0.990996624,0.993248312,0.993624203,0.992502811,0.993002624,0.992674915,0.000914725
