,round,reward,ticks
0,0,3.0,25
1,1,26.0,257
2,2,16.0,142
3,3,3.0,124
4,4,9.0,142
5,5,6.0,145
6,6,10.0,158
7,7,4.0,140
8,8,9.0,142
9,9,9.0,139
10,10,4.0,42
11,11,13.0,159
12,12,10.0,139
13,13,6.0,86
14,14,4.0,133
15,15,22.0,209
16,16,3.0,145
17,17,23.0,217
18,18,8.0,128
19,19,13.0,134
20,20,12.0,209
21,21,15.0,149
22,22,9.0,118
23,23,10.0,118
24,24,17.0,161
25,25,31.0,235
26,26,24.0,223
27,27,10.0,137
28,28,8.0,126
29,29,20.0,246
30,30,4.0,118
31,31,1.0,118
32,32,10.0,118
33,33,8.0,134
34,34,7.0,118
35,35,13.0,134
36,36,8.0,139
37,37,22.0,198
38,38,19.0,172
39,39,9.0,134
40,40,7.0,150
41,41,7.0,124
42,42,2.0,121
43,43,6.0,127
44,44,11.0,135
45,45,8.0,143
46,46,9.0,121
47,47,4.0,130
48,48,14.0,166
49,49,32.0,278
50,50,5.0,118
51,51,15.0,178
52,52,35.0,446
53,53,17.0,172
54,54,46.0,440
55,55,25.0,230
56,56,16.0,190
57,57,17.0,181
58,58,11.0,118
59,59,9.0,118
60,60,14.0,118
61,61,13.0,150
62,62,11.0,150
63,63,8.0,146
64,64,4.0,118
65,65,7.0,134
66,66,10.0,143
67,67,19.0,238
68,68,22.0,214
69,69,15.0,169
70,70,17.0,174
71,71,13.0,134
72,72,12.0,150
73,73,8.0,136
74,74,8.0,225
75,75,8.0,161
76,76,16.0,267
77,77,13.0,286
78,78,5.0,127
79,79,20.0,222
80,80,9.0,139
81,81,22.0,161
82,82,10.0,145
83,83,14.0,166
84,84,9.0,143
85,85,14.0,145
86,86,6.0,118
87,87,10.0,122
88,88,11.0,251
89,89,8.0,145
90,90,4.0,136
91,91,14.0,318
92,92,7.0,118
93,93,6.0,130
94,94,19.0,193
95,95,8.0,145
96,96,14.0,161
97,97,11.0,145
98,98,3.0,44
99,99,9.0,121
100,100,11.0,158
101,101,6.0,127
102,102,7.0,141
103,103,13.0,318
104,104,10.0,203
105,105,4.0,136
106,106,13.0,289
107,107,5.0,145
108,108,9.0,149
109,109,5.0,133
110,110,7.0,216
111,111,6.0,165
112,112,5.0,174
113,113,17.0,161
114,114,12.0,145
115,115,12.0,144
116,116,14.0,145
117,117,11.0,145
118,118,14.0,142
119,119,8.0,145
120,120,23.0,209
121,121,20.0,174
122,122,10.0,142
123,123,27.0,270
124,124,13.0,145
125,125,12.0,139
126,126,2.0,126
127,127,6.0,136
128,128,1.0,152
129,129,13.0,165
130,130,14.0,166
131,131,7.0,139
132,132,9.0,136
133,133,14.0,166
134,134,7.0,142
135,135,10.0,142
136,136,1.0,42
137,137,1.0,118
138,138,3.0,124
139,139,5.0,134
140,140,4.0,118
141,141,23.0,249
142,142,7.0,137
143,143,5.0,118
144,144,25.0,284
145,145,10.0,150
146,146,6.0,150
147,147,9.0,134
148,148,5.0,115
149,149,6.0,118
150,150,5.0,134
151,151,3.0,118
152,152,1.0,118
153,153,5.0,121
154,154,12.0,184
155,155,6.0,121
156,156,5.0,114
157,157,16.0,200
158,158,2.0,121
159,159,10.0,158
160,160,5.0,177
161,161,10.0,161
162,162,13.0,158
163,163,13.0,142
164,164,5.0,118
165,165,8.0,134
166,166,23.0,252
167,167,6.0,142
168,168,5.0,158
169,169,4.0,142
170,170,12.0,145
171,171,48.0,338
172,172,23.0,246
173,173,43.0,422
174,174,16.0,178
175,175,9.0,134
176,176,31.0,286
177,177,15.0,190
178,178,47.0,402
179,179,29.0,270
180,180,1.0,86
181,181,2.0,94
182,182,30.0,262
183,183,14.0,158
184,184,26.0,198
185,185,3.0,142
186,186,3.0,126
187,187,13.0,174
188,188,2.0,144
189,189,10.0,121
190,190,2.0,92
191,191,15.0,145
192,192,15.0,177
193,193,3.0,158
194,194,5.0,161
195,195,10.0,145
196,196,8.0,142
197,197,14.0,145
198,198,16.0,190
199,199,12.0,142
