,round,reward,ticks
0,0,34.0,262
1,1,55.0,352
2,2,41.0,278
3,3,16.0,134
4,4,36.0,262
5,5,20.0,150
6,6,39.0,262
7,7,42.0,294
8,8,55.0,420
9,9,55.0,402
10,10,27.0,166
11,11,50.0,374
12,12,28.0,166
13,13,56.0,350
14,14,27.0,166
15,15,25.0,166
16,16,56.0,396
17,17,36.0,262
18,18,29.0,166
19,19,55.0,384
20,20,31.0,166
21,21,26.0,166
22,22,35.0,278
23,23,55.0,403
24,24,20.0,150
25,25,18.0,134
26,26,22.0,150
27,27,39.0,262
28,28,26.0,166
29,29,54.0,401
30,30,24.0,150
31,31,55.0,397
32,32,56.0,384
33,33,35.0,182
34,34,41.0,262
35,35,55.0,395
36,36,41.0,262
37,37,29.0,182
38,38,56.0,396
39,39,25.0,166
40,40,55.0,403
41,41,55.0,418
42,42,52.0,379
43,43,41.0,278
44,44,45.0,294
45,45,55.0,363
46,46,29.0,182
47,47,26.0,150
48,48,33.0,182
49,49,54.0,422
50,50,38.0,246
51,51,42.0,294
52,52,23.0,150
53,53,41.0,278
54,54,26.0,166
55,55,55.0,417
56,56,55.0,385
57,57,49.0,310
58,58,36.0,262
59,59,25.0,166
60,60,56.0,396
61,61,55.0,368
62,62,56.0,396
63,63,29.0,166
64,64,51.0,371
65,65,24.0,150
66,66,44.0,294
67,67,55.0,393
68,68,54.0,372
69,69,22.0,150
70,70,56.0,396
71,71,44.0,294
72,72,47.0,371
73,73,25.0,166
74,74,55.0,378
75,75,56.0,401
76,76,51.0,358
77,77,56.0,413
78,78,19.0,134
79,79,37.0,246
80,80,55.0,326
81,81,55.0,385
82,82,32.0,182
83,83,55.0,402
84,84,22.0,150
85,85,54.0,395
86,86,27.0,150
87,87,40.0,278
88,88,53.0,406
89,89,25.0,166
90,90,54.0,385
91,91,55.0,364
92,92,39.0,278
93,93,56.0,337
94,94,15.0,100
95,95,45.0,342
96,96,53.0,385
97,97,42.0,294
98,98,53.0,402
99,99,23.0,150
100,100,28.0,182
101,101,24.0,166
102,102,45.0,310
103,103,28.0,166
104,104,17.0,134
105,105,55.0,420
106,106,27.0,150
107,107,56.0,389
108,108,26.0,166
109,109,26.0,150
110,110,54.0,406
111,111,20.0,150
112,112,39.0,278
113,113,55.0,373
114,114,15.0,134
115,115,56.0,417
116,116,54.0,395
117,117,42.0,294
118,118,24.0,166
119,119,56.0,364
120,120,55.0,370
121,121,54.0,403
122,122,39.0,278
123,123,55.0,406
124,124,18.0,134
125,125,55.0,402
126,126,56.0,392
127,127,25.0,150
128,128,21.0,150
129,129,54.0,422
130,130,14.0,97
131,131,48.0,374
132,132,55.0,354
133,133,42.0,278
134,134,55.0,405
135,135,56.0,379
136,136,27.0,166
