,round,reward,ticks
319,319,13.0,89
320,320,29.0,233
321,321,11.0,136
322,322,17.0,142
323,323,34.0,265
324,324,15.0,165
325,325,27.0,258
326,326,21.0,169
327,327,20.0,163
328,328,8.0,58
329,329,23.0,184
330,330,16.0,144
331,331,15.0,161
332,332,24.0,183
333,333,38.0,266
334,334,24.0,172
335,335,13.0,163
336,336,20.0,144
337,337,9.0,124
338,338,20.0,187
339,339,20.0,165
340,340,10.0,86
341,341,16.0,129
342,342,10.0,118
343,343,9.0,75
344,344,21.0,169
345,345,10.0,90
346,346,20.0,169
347,347,12.0,130
348,348,9.0,131
349,349,12.0,123
350,350,14.0,118
351,351,18.0,161
352,352,10.0,121
353,353,15.0,119
354,354,13.0,101
355,355,16.0,140
356,356,17.0,151
357,357,14.0,123
358,358,23.0,173
359,359,20.0,158
360,360,8.0,138
361,361,12.0,122
362,362,24.0,184
363,363,16.0,165
364,364,18.0,130
365,365,7.0,133
366,366,19.0,155
367,367,12.0,139
368,368,12.0,152
369,369,15.0,131
370,370,11.0,161
371,371,14.0,93
372,372,8.0,118
373,373,2.0,38
374,374,22.0,199
375,375,12.0,143
376,376,8.0,128
377,377,16.0,118
378,378,27.0,190
379,379,8.0,133
380,380,27.0,179
381,381,20.0,158
382,382,7.0,136
383,383,16.0,142
384,384,7.0,83
385,385,12.0,130
386,386,15.0,104
387,387,15.0,155
388,388,10.0,144
389,389,16.0,145
390,390,15.0,147
391,391,8.0,136
392,392,6.0,64
393,393,6.0,142
394,394,21.0,172
395,395,7.0,92
396,396,12.0,121
397,397,5.0,66
398,398,9.0,152
399,399,8.0,75
400,400,14.0,133
401,401,13.0,114
402,402,15.0,159
403,403,8.0,129
404,404,15.0,138
405,405,10.0,134
406,406,10.0,122
407,407,20.0,187
408,408,5.0,83
409,409,12.0,124
410,410,16.0,136
411,411,13.0,158
412,412,7.0,127
413,413,12.0,134
414,414,12.0,156
415,415,9.0,139
416,416,16.0,130
417,417,8.0,118
418,418,17.0,152
419,419,6.0,124
420,420,15.0,191
421,421,10.0,144
422,422,9.0,118
423,423,10.0,81
424,424,10.0,129
425,425,18.0,169
426,426,14.0,152
427,427,13.0,140
428,428,7.0,160
429,429,3.0,47
430,430,11.0,110
431,431,12.0,138
