,round,reward,ticks
318,318,11.0,118
319,319,33.0,262
320,320,51.0,351
321,321,42.0,326
322,322,34.0,246
323,323,34.0,246
324,324,52.0,405
325,325,28.0,251
326,326,27.0,230
327,327,43.0,310
328,328,19.0,166
329,329,22.0,177
330,330,45.0,339
331,331,50.0,401
332,332,50.0,404
333,333,53.0,386
334,334,39.0,326
335,335,53.0,400
336,336,35.0,255
337,337,25.0,205
338,338,52.0,388
339,339,35.0,278
340,340,20.0,165
341,341,49.0,422
342,342,47.0,360
343,343,53.0,404
344,344,51.0,395
345,345,27.0,198
346,346,44.0,358
347,347,3.0,142
348,348,13.0,150
349,349,33.0,310
350,350,40.0,310
351,351,29.0,214
352,352,50.0,323
353,353,35.0,294
354,354,43.0,374
355,355,51.0,390
356,356,52.0,413
357,357,43.0,294
358,358,51.0,402
359,359,25.0,198
360,360,21.0,159
361,361,26.0,188
362,362,37.0,246
363,363,28.0,198
364,364,24.0,169
365,365,35.0,310
366,366,25.0,246
367,367,19.0,150
368,368,50.0,401
369,369,27.0,198
370,370,12.0,109
371,371,50.0,397
372,372,13.0,166
373,373,53.0,413
374,374,5.0,102
375,375,51.0,408
376,376,32.0,278
377,377,18.0,166
378,378,52.0,369
379,379,28.0,182
380,380,51.0,363
381,381,21.0,182
382,382,18.0,149
383,383,26.0,230
384,384,46.0,374
385,385,38.0,282
386,386,49.0,324
387,387,33.0,230
388,388,23.0,175
389,389,6.0,118
390,390,29.0,262
391,391,18.0,150
392,392,27.0,185
393,393,26.0,185
394,394,4.0,118
395,395,44.0,406
396,396,39.0,311
397,397,18.0,150
398,398,51.0,395
399,399,48.0,422
400,400,41.0,326
401,401,33.0,262
402,402,42.0,342
403,403,29.0,230
404,404,19.0,157
405,405,7.0,118
406,406,21.0,166
407,407,13.0,137
408,408,13.0,150
409,409,7.0,119
410,410,51.0,379
411,411,24.0,154
412,412,23.0,197
413,413,39.0,295
414,414,51.0,342
415,415,53.0,362
416,416,46.0,407
417,417,53.0,369
418,418,52.0,416
419,419,51.0,363
420,420,47.0,424
421,421,16.0,134
422,422,50.0,415
423,423,21.0,198
424,424,52.0,335
425,425,41.0,342
426,426,15.0,142
427,427,22.0,150
428,428,17.0,132
429,429,18.0,166
430,430,29.0,248
431,431,41.0,278
432,432,46.0,426
433,433,11.0,128
434,434,5.0,118
435,435,13.0,166
436,436,30.0,278
437,437,15.0,156
438,438,53.0,389
439,439,41.0,326
440,440,20.0,151
441,441,46.0,362
442,442,7.0,118
443,443,49.0,393
444,444,34.0,278
445,445,15.0,156
446,446,34.0,262
447,447,50.0,381
448,448,26.0,214
449,449,30.0,294
450,450,12.0,118
451,451,27.0,229
452,452,46.0,342
453,453,42.0,326
454,454,26.0,236
455,455,23.0,169
456,456,28.0,166
457,457,39.0,294
458,458,50.0,388
459,459,22.0,178
460,460,46.0,392
461,461,22.0,172
462,462,19.0,150
463,463,18.0,150
464,464,50.0,1999
465,465,35.0,278
466,466,28.0,208
467,467,30.0,246
468,468,41.0,377
469,469,21.0,127
470,470,51.0,326
471,471,43.0,326
472,472,15.0,166
473,473,26.0,182
474,474,26.0,198
475,475,43.0,374
476,476,50.0,359
477,477,21.0,150
478,478,21.0,147
479,479,26.0,174
480,480,6.0,118
481,481,14.0,118
482,482,33.0,278
483,483,49.0,1999
484,484,49.0,379
485,485,34.0,310
486,486,40.0,332
487,487,31.0,278
488,488,31.0,294
489,489,55.0,389
490,490,52.0,1999
491,491,41.0,342
492,492,12.0,118
493,493,51.0,420
494,494,37.0,296
495,495,33.0,270
496,496,24.0,214
497,497,21.0,204
498,498,13.0,124
499,499,13.0,128
500,500,7.0,118
501,501,31.0,228
502,502,20.0,187
503,503,39.0,315
504,504,18.0,166
505,505,25.0,152
506,506,18.0,153
507,507,54.0,374
508,508,19.0,123
509,509,36.0,278
510,510,35.0,311
511,511,12.0,118
512,512,39.0,314
513,513,37.0,310
514,514,52.0,389
515,515,31.0,246
516,516,42.0,300
517,517,5.0,118
518,518,41.0,294
519,519,29.0,182
520,520,39.0,294
521,521,53.0,408
522,522,22.0,197
523,523,16.0,134
524,524,50.0,397
525,525,31.0,278
526,526,48.0,408
527,527,50.0,371
528,528,4.0,64
529,529,51.0,374
530,530,35.0,294
531,531,50.0,378
532,532,51.0,376
533,533,20.0,177
534,534,10.0,118
535,535,50.0,374
536,536,54.0,396
537,537,46.0,374
538,538,48.0,342
539,539,14.0,150
540,540,51.0,379
541,541,17.0,138
542,542,26.0,182
543,543,10.0,118
544,544,48.0,1999
545,545,32.0,259
546,546,7.0,128
547,547,46.0,407
548,548,39.0,294
549,549,43.0,326
550,550,47.0,403
551,551,52.0,386
552,552,21.0,166
553,553,30.0,198
554,554,44.0,374
555,555,48.0,390
556,556,48.0,390
557,557,24.0,166
558,558,13.0,134
559,559,50.0,380
560,560,9.0,118
561,561,51.0,365
562,562,50.0,422
563,563,40.0,326
564,564,16.0,150
565,565,32.0,246
566,566,35.0,246
567,567,35.0,262
568,568,30.0,259
569,569,45.0,390
570,570,46.0,280
571,571,30.0,230
572,572,55.0,416
573,573,46.0,391
574,574,35.0,278
575,575,50.0,1999
576,576,38.0,295
577,577,18.0,151
578,578,51.0,360
579,579,34.0,262
580,580,21.0,166
581,581,25.0,198
582,582,13.0,124
583,583,24.0,199
584,584,28.0,182
585,585,5.0,113
586,586,21.0,168
587,587,35.0,285
588,588,30.0,252
589,589,14.0,135
590,590,26.0,198
591,591,54.0,411
592,592,7.0,118
593,593,52.0,362
594,594,36.0,294
595,595,8.0,118
596,596,38.0,295
597,597,26.0,199
598,598,17.0,134
599,599,10.0,127
600,600,15.0,153
601,601,49.0,403
602,602,8.0,118
603,603,14.0,139
604,604,26.0,248
605,605,21.0,214
606,606,50.0,339
607,607,31.0,262
608,608,4.0,118
609,609,46.0,358
610,610,53.0,339
611,611,47.0,394
612,612,48.0,1999
613,613,37.0,246
614,614,53.0,387
615,615,23.0,172
616,616,50.0,433
617,617,22.0,184
618,618,16.0,132
619,619,32.0,220
620,620,14.0,132
621,621,52.0,411
622,622,34.0,262
623,623,12.0,143
624,624,33.0,264
625,625,28.0,195
626,626,54.0,344
627,627,43.0,326
628,628,32.0,262
629,629,29.0,230
630,630,27.0,166
631,631,40.0,326
632,632,19.0,166
633,633,21.0,160
634,634,53.0,379
635,635,29.0,182
636,636,47.0,390
637,637,16.0,150
638,638,49.0,374
639,639,20.0,166
640,640,10.0,134
641,641,19.0,166
642,642,17.0,151
643,643,41.0,310
644,644,51.0,362
645,645,52.0,384
646,646,48.0,392
647,647,15.0,118
648,648,27.0,214
649,649,53.0,396
650,650,25.0,182
651,651,9.0,134
652,652,26.0,214
653,653,30.0,264
654,654,23.0,166
655,655,49.0,368
656,656,34.0,326
657,657,43.0,328
658,658,28.0,182
659,659,22.0,172
660,660,21.0,186
661,661,29.0,227
662,662,14.0,112
663,663,14.0,149
664,664,34.0,283
665,665,27.0,214
666,666,26.0,191
667,667,22.0,140
668,668,52.0,370
669,669,45.0,374
670,670,30.0,263
671,671,9.0,97
672,672,24.0,154
673,673,29.0,182
674,674,31.0,230
675,675,12.0,118
676,676,15.0,150
677,677,34.0,278
678,678,51.0,357
679,679,36.0,294
680,680,51.0,348
681,681,38.0,278
682,682,47.0,326
683,683,12.0,118
684,684,33.0,262
685,685,20.0,170
686,686,14.0,147
687,687,44.0,344
688,688,37.0,294
