,round,reward,ticks
0,0,20.0,150
1,1,54.0,386
2,2,54.0,370
3,3,54.0,361
4,4,46.0,342
5,5,14.0,111
6,6,53.0,340
7,7,55.0,382
8,8,52.0,368
9,9,55.0,416
10,10,51.0,423
11,11,35.0,294
12,12,56.0,387
13,13,53.0,384
14,14,43.0,326
15,15,43.0,342
16,16,50.0,406
17,17,24.0,166
18,18,54.0,351
19,19,13.0,118
20,20,49.0,390
21,21,43.0,326
22,22,54.0,354
23,23,53.0,405
24,24,53.0,396
25,25,52.0,422
26,26,39.0,278
27,27,43.0,310
28,28,18.0,134
29,29,28.0,219
30,30,12.0,118
31,31,21.0,134
32,32,28.0,182
33,33,47.0,390
34,34,52.0,374
35,35,27.0,167
36,36,35.0,231
37,37,50.0,422
38,38,52.0,403
39,39,47.0,342
40,40,53.0,399
41,41,25.0,166
42,42,44.0,326
43,43,36.0,262
44,44,33.0,278
45,45,53.0,386
46,46,45.0,374
47,47,21.0,150
48,48,54.0,360
49,49,44.0,342
50,50,50.0,389
51,51,43.0,320
52,52,51.0,406
53,53,52.0,417
54,54,54.0,382
55,55,39.0,294
56,56,55.0,402
57,57,25.0,150
58,58,43.0,295
59,59,52.0,406
60,60,38.0,246
61,61,54.0,419
62,62,27.0,182
63,63,24.0,182
64,64,54.0,390
65,65,55.0,395
66,66,46.0,390
67,67,37.0,246
68,68,39.0,278
69,69,37.0,262
70,70,48.0,390
71,71,47.0,358
72,72,50.0,374
73,73,32.0,214
74,74,54.0,398
75,75,25.0,199
76,76,44.0,341
77,77,54.0,399
78,78,52.0,1999
79,79,43.0,326
80,80,55.0,384
81,81,27.0,166
82,82,54.0,361
83,83,37.0,278
84,84,51.0,390
85,85,54.0,377
86,86,53.0,404
87,87,54.0,345
88,88,19.0,150
89,89,25.0,184
90,90,53.0,397
91,91,52.0,1999
92,92,53.0,387
93,93,55.0,385
94,94,39.0,342
95,95,21.0,166
96,96,47.0,342
97,97,37.0,294
98,98,29.0,246
99,99,43.0,278
100,100,49.0,375
101,101,20.0,134
102,102,54.0,363
103,103,53.0,388
104,104,55.0,370
105,105,53.0,371
106,106,52.0,374
107,107,53.0,369
108,108,44.0,342
109,109,29.0,150
110,110,39.0,279
111,111,55.0,357
112,112,54.0,419
113,113,36.0,262
114,114,55.0,385
115,115,52.0,320
116,116,41.0,294
117,117,51.0,422
118,118,54.0,371
119,119,34.0,230
120,120,11.0,76
121,121,24.0,150
122,122,55.0,390
123,123,17.0,114
124,124,30.0,214
125,125,55.0,385
126,126,54.0,357
127,127,4.0,81
128,128,44.0,310
129,129,40.0,230
130,130,37.0,262
131,131,54.0,404
